,actual_return,VaR_95,VaR_99,CVaR_95,CVaR_99
2025-05-19,-0.8733679968754553,-1.4691949659342567,-2.688174567764562,-2.299898094593535,-3.9513660188796047
2025-05-20,0.1752848827414387,-1.4691949659342567,-2.688174567764562,-2.299898094593535,-3.9513660188796047
2025-05-21,0.0,-1.4691949659342567,-2.688174567764562,-2.299898094593535,-3.9513660188796047
2025-05-22,-0.35087755296793655,-1.4691949659342567,-2.688174567764562,-2.299898094593535,-3.9513660188796047
2025-05-23,-0.17590154051795587,-1.4691949659342567,-2.688174567764562,-2.299898094593535,-3.9513660188796047
2025-05-26,0.3514942107444592,-1.4691949659342567,-2.688174567764562,-2.299898094593535,-3.9513660188796047
2025-05-27,-0.3514942107444497,-1.4691949659342567,-2.688174567764562,-2.299898094593535,-3.9513660188796047
2025-05-28,0.0,-1.4691949659342567,-2.688174567764562,-2.299898094593535,-3.9513660188796047
2025-05-29,-0.17621149933992208,-1.4691949659342567,-2.688174567764562,-2.299898094593535,-3.9513660188796047
2025-05-30,-0.5305052229693229,-1.4691949659342567,-2.688174567764562,-2.299898094593535,-3.9513660188796047
2025-06-02,-0.3552401604367772,-1.4691949659342567,-2.688174567764562,-2.299898094593535,-3.9513660188796047
2025-06-03,1.061956882746013,-1.4691949659342567,-2.688174567764562,-2.299898094593535,-3.9513660188796047
2025-06-04,-0.35273405179682993,-1.7639370541102846,-3.3296573407801597,-2.848995369680483,-5.069168028815336
2025-06-05,-0.531445006349259,-1.7639370541102846,-3.3296573407801597,-2.848995369680483,-5.069168028815336
2025-06-06,-0.3558722616993995,-1.7639370541102846,-3.3296573407801597,-2.848995369680483,-5.069168028815336
2025-06-09,-0.3571432367597245,-1.7639370541102846,-3.3296573407801597,-2.848995369680483,-5.069168028815336
2025-06-10,0.0,-1.7639370541102846,-3.3296573407801597,-2.848995369680483,-5.069168028815336
2025-06-11,-0.35842332278150496,-1.7639370541102846,-3.3296573407801597,-2.848995369680483,-5.069168028815336
2025-06-12,0.5371543801910849,-1.7639370541102846,-3.3296573407801597,-2.848995369680483,-5.069168028815336
2025-06-13,0.35650661644961446,-1.7639370541102846,-3.3296573407801597,-2.848995369680483,-5.069168028815336
2025-06-16,0.7092228309491837,-1.7639370541102846,-3.3296573407801597,-2.848995369680483,-5.069168028815336
2025-06-17,1.054491317661504,-1.7639370541102846,-3.3296573407801597,-2.848995369680483,-5.069168028815336
2025-06-18,-0.8779687652045837,-1.7639370541102846,-3.3296573407801597,-2.848995369680483,-5.069168028815336
